country,gdp1
afghanistan,19543976895.4248
albania,13038538300.2644
algeria,167555280113.181
american samoa,634000000.0
andorra,3012914131.16971
angola,122123822333.73
argentina,637430331479.469
armenia,11536590635.8268
australia,1323421072479.07
austria,416835975862.193
azerbaijan,40747792237.9735
bangladesh,249723862487.36102
barbados,4673500000.0
belarus,54456465472.6162
belgium,494763551890.776
belize,1862614800.0
bermuda,5570000000.0
bolivia,37508642112.8799
bosnia and herzegovina,18054854788.5214
brazil,2053594877013.22
bulgaria,58220973782.7715
cambodia,22158209502.6391
cameroon,34922782310.6416
canada,1647120175449.13
cayman islands,3210000000.0
chile,277075944401.94104
china,12237700000000.0
colombia,314457601859.523
costa rica,57285984447.7113
cote d'ivoire,37353276059.2518
croatia,55213087270.6341
cuba,96851000000.0
curaçao,3120000000.0
cyprus,22054225828.2623
czech republic,215913545038.43
czechia,242050000000.0
denmark,329865537183.471
dominican republic,75931656814.657
ecuador,104296000000.0
egypt,235369129337.711
el salvador,24805439600.0
estonia,26611651598.9452
ethiopia,80561496133.9172
finland,252301837573.029
france,2582501307216.42
georgia,15081338092.2875
germany,3693204332229.78
ghana,58996776237.7603
greece,203085551429.132
guam,5859000000.0
guatemala,75620095537.5005
guinea,10472514514.62
haiti,8408150517.976841
honduras,22978532896.7816
hong kong,363030000000.0
hungary,139761138102.757
iceland,24488467010.4793
india,2650725335363.83
indonesia,1015420587285.06
iran,452280000000.0
iraq,192060810810.811
ireland,331430014003.047
israel,353268411918.577
italy,1943835376341.56
jamaica,14781107821.7513
japan,4872415104314.68
jordan,40068308450.7042
kazakhstan,162886867831.694
kenya,79263075749.2682
kosovo,7244888738.280809
kuwait,120126277612.925
kyrgyzstan,8090000000.0
latvia,30463302413.7289
lebanon,53576985686.6998
libya,38107728082.5817
lithuania,47544459558.9514
luxembourg,62316359824.1281
macao,45300000000.0
macedonia,12670000000.0
madagascar,11499803806.5729
malaysia,314710259510.743
maldives,4865546027.0157
malta,12518134319.0893
mauritius,13266427697.2513
mexico,1150887823404.18
moldova,8128493432.07741
mongolia,11433635875.9316
montenegro,4844592066.71174
morocco,109708728848.535
myanmar,67068745521.3823
namibia,13253698014.7075
nepal,24880266905.4961
netherlands,830572618849.828
new zealand,204139049908.52
nigeria,375745486520.656
north korea,17360000000.0
norway,399488897844.046
oman,70783875162.5488
pakistan,304951818494.06604
palestine,14500000000.0
panama,62283756584.4322
papua new guinea,20536314601.1039
paraguay,39667400816.2126
peru,211389272242.15698
philippines,313595208736.66
poland,526465839002.568
portugal,219308128887.409
puerto rico,104.34
qatar,166928571428.57098
republic of lithuania,53320000000.0
republic of moldova,11400000000.0
romania,211883923504.01
russian federation,1578417211936.87
saudi arabia,686738000000.0
senegal,21070225734.7861
serbia,41431648801.1663
singapore,323907234412.34
slovak republic,95617670260.1144
slovenia,48769655479.2388
somalia,7052000000.0
south africa,348871647959.64
south korea,1619420000000.0
spain,1314314164402.2
sri lanka,87357205923.1238
sudan,117487857142.857
swaziland,4680000000.0
sweden,535607385506.432
switzerland,678965423322.021
syrian arab republic,15180000000.0
taiwan,589390000000.0
tajikistan,7146449583.026309
tanzania,53320625958.5655
thailand,455302682985.757
togo,4757776485.12802
tunisia,39952095560.8829
turkey,851549299635.427
uganda,25995031850.1658
ukraine,112154185121.40599
united arab emirates,382575085091.899
united kingdom,2637866340434.13
united states,19485400000000.0
uruguay,56156972157.6958
uzbekistan,49677172714.26
venezuela,98470000000.0
vietnam,223779865815.183
yemen,31270000000.0
zimbabwe,22040902300.0
